"","c"
"44x5377","VIP"
"68x4194","Smc"
"84x5959","Smc"
"80x5764","Astro"
"114x1974","Endo"
"168x531","Reln"
"185x4559","Astro"
"177x3654","Reln"
"241x2001","Endo"
"270x3116","Reln"
"309x5302","Smc"
"275x628","NPY"
"294x5628","Astro"
"349x1994","Endo"
"377x4455","Astro"
"410x1893","Endo"
"387x3267","Reln"
"476x669","Smc"
"446x1536","Endo"
"485x1779","Endo"
"501x2036","Endo"
"527x937","eL5-3"
"450x4160","Reln"
"548x4572","Reln"
"544x2540","Astro"
"591x3577","Smc"
"603x6364","Astro"
"651x4418","Smc"
"663x2654","Reln"
"665x5629","Reln"
"852x3642","Astro"
"1085x4223","Astro"
"1110x6096","Astro"
"1139x5599","Astro"
"1120x5436","Astro"
"1184x4281","Smc"
"1126x4550","Smc"
"1151x6524","Astro"
"1177x1565","Endo"
"1187x4426","Astro"
"1180x5746","Astro"
"1180x5077","Astro"
"1205x5367","Astro"
"1184x3703","Smc"
"1187x3879","Smc"
"1229x3321","Smc"
"1212x1071","Endo"
"1214x1248","Endo"
"1224x2691","Reln"
"1215x2845","Oligo"
"1221x2460","Endo"
"1252x828","Endo"
"1261x3491","Smc"
"1299x2992","Oligo"
"1244x1819","Endo"
"1271x2371","Endo"
"1339x4144","Astro"
"1324x1018","Endo"
"1361x2480","Endo"
"1348x1921","Endo"
"1644x997","Endo"
"1778x1015","Endo"
"1807x1991","Endo"
"1787x4503","Astro"
"1878x6520","Astro"
"1989x1653","eL5-3"
"1963x1937","Endo"
"2114x1968","Endo"
"2100x5513","Lhx6"
"2169x1422","NPY"
"2201x2033","Endo"
"2196x3567","Astro"
"2316x578","Reln"
"2336x4662","Endo"
"2359x1998","Endo"
"2440x5942","eL6-2"
"2494x1911","Astro"
"2512x6574","eL5-2"
"2533x2102","Endo"
"2613x5940","eL5-3"
"2576x2620","Reln"
"2591x6509","eL2/3"
"2600x752","Astro"
"2635x3853","eL2/3"
"2610x5600","eL5-2"
"2690x5500","Astro"
"2697x2166","Smc"
"2770x3565","eL5-3"
"2748x217","Reln"
"2875x491","Endo"
"2753x4334","eL2/3"
"2803x6419","eL2/3"
"2866x125","Smc"
"2880x4466","eL2/3"
"2916x5260","NPY"
"2927x4651","eL5-2"
"2926x2674","eL2/3"
"2960x6102","eL2/3"
"2973x5110","eL2/3"
"3025x3692","eL2/3"
"3074x5257","Reln"
"3080x5841","eL2/3"
"3126x2749","eL2/3"
"3071x3935","eL2/3"
"3096x4369","L5-1"
"3120x1105","Reln"
"3122x4726","eL2/3"
"3111x6412","eL2/3"
"3084x3109","eL2/3"
"3166x5661","NPY"
"3203x1510","eL2/3"
"3148x2309","Astro"
"3222x5513","eL2/3"
"3197x2950","eL2/3"
"3214x5916","eL2/3"
"3218x4490","eL2/3"
"3228x5280","Astro"
"3270x4186","eL2/3"
"3300x4308","eL2/3"
"3260x3440","eL2/3"
"3324x4576","eL2/3"
"3301x3734","eL2/3"
"3320x6058","eL2/3"
"3352x4070","eL2/3"
"3335x5021","eL5-2"
"3359x1091","eL2/3"
"3323x6465","eL2/3"
"3364x5937","eL2/3"
"3359x5256","eL2/3"
"3362x3568","eL2/3"
"3385x6253","eL2/3"
"3383x5417","eL2/3"
"3414x4881","L5-1"
"3386x1833","eL2/3"
"3389x3123","eL2/3"
"3416x4672","eL2/3"
"3411x5640","eL2/3"
"3427x4528","eL2/3"
"3453x878","eL5-2"
"3466x2740","eL2/3"
"3466x3930","eL2/3"
"3511x5866","eL2/3"
"3493x6025","eL2/3"
"3487x4430","eL2/3"
"3497x5218","eL2/3"
"3507x2973","eL2/3"
"3542x5733","eL2/3"
"3531x5104","eL2/3"
"3521x3696","eL2/3"
"3546x6184","eL2/3"
"3541x2110","eL2/3"
"3543x4744","eL2/3"
"3573x4973","eL2/3"
"3572x1917","eL2/3"
"3591x2599","eL2/3"
"3598x997","VIP"
"3587x1792","eL2/3"
"3621x3884","eL2/3"
"3612x4320","eL2/3"
"3638x1640","eL2/3"
"3665x3543","eL2/3"
"3672x3705","eL2/3"
"3662x1282","Astro"
"3662x4119","eL2/3"
"3690x3439","Endo"
"3689x1991","Astro"
"3687x2908","L5-1"
"3680x4808","eL2/3"
"3710x1762","eL2/3"
"3720x2151","eL2/3"
"3696x4553","eL2/3"
"3711x4679","eL2/3"
"3753x6514","eL5-2"
"3719x2629","eL2/3"
"3733x4309","eL2/3"
"3766x5297","eL2/3"
"3761x1123","eL2/3"
"3727x6042","Astro"
"3814x5458","Smc"
"3795x3235","eL5-2"
"3805x5811","eL5-2"
"3795x751","eL2/3"
"3800x2317","eL2/3"
"3799x4039","eL5-2"
"3833x4772","eL2/3"
"3831x1304","L5-1"
"3867x5191","eL2/3"
"3843x3447","Endo"
"3902x6520","eL5-2"
