"","x","y"
"47x2553",47.4870140191372,2552.71246463426
"69x6221",69.1085553997195,6220.87870166299
"84x2248",83.6384392634393,2247.7920997921
"117x54",117.192515223927,53.8494951052185
"157x3715",157.073168820995,3715.09294947121
"112x161",112.067202949556,161.278238645886
"108x274",108.147352572146,274.30860727729
"150x2720",149.63781912592,2719.89473270131
"184x507",184.134635869261,506.669563267366
"209x4104",208.68783408891,4103.80103525272
"225x3964",225.352934126952,3963.62381656214
"327x4330",327.170850951374,4329.59098837209
"278x3599",278.085523982186,3598.79123477713
"374x5376",373.945774608026,5375.66349691515
"411x5024",411.468424263321,5024.12532159245
"437x5249",436.779009151639,5249.33026991543
"431x4591",430.854027966303,4591.11106801974
"455x2706",455.283941677912,2706.18869104433
"561x138",561.384867421777,138.088443345051
"538x5785",537.970182500293,5785.15244831764
"530x2833",529.552406741678,2832.57967225361
"539x2954",538.874916901048,2953.63891587829
"587x1839",586.836134843982,1838.82215824666
"606x6172",606.4809927656,6171.81063212941
"622x6005",621.826736370426,6005.43146174214
"621x686",620.639468963043,686.395981341945
"608x6495",607.605082342676,6494.5280837605
"675x2050",674.719667819395,2049.50572305294
"718x5878",717.638464793776,5878.14622871838
"682x3065",681.957085097577,3064.97570914648
"683x6467",682.595716936657,6467.24028286273
"662x445",662.041807987817,445.352806811103
"691x2692",691.309526691684,2691.6742525118
"683x340",682.698884472368,340.484780100013
"678x3620",677.635639741811,3620.09247752911
"754x144",754.352194421259,143.601665469651
"792x1030",791.654476723544,1029.75641695036
"806x1748",806.463947123825,1748.10953216978
"809x742",809.061882939132,741.964752560514
"840x3681",839.924078624079,3680.98456183456
"878x4498",877.63164128039,4497.84725466329
"956x674",955.509136043625,673.600964473202
"942x433",942.36626573315,433.405122374484
"952x2048",952.49045270109,2047.9783395656
"977x1702",977.196000737191,1702.46853114633
"1061x2466",1060.51732757641,2466.29323940461
"1002x133",1001.51656678005,133.027842269136
"1088x1005",1088.02002809697,1005.24982289303
"1129x1221",1128.58465535158,1221.43688950468
"1097x2692",1097.09157645118,2692.28235900608
"1154x5139",1154.34452984154,5138.59072650789
"1138x597",1137.55172342621,597.064189886481
"1157x336",1157.24898245954,336.379227638337
"1171x2099",1171.29057747739,2099.31607196104
"1157x1675",1157.40637049847,1674.86602322918
"1198x98",1197.60337439743,98.480684252812
"1267x1251",1266.56751304483,1251.01433476228
"1286x1631",1285.9245711993,1630.75010866294
"1299x545",1299.44932638465,544.992376781061
"1293x5715",1292.88075013337,5715.48102096926
"1320x173",1320.43766503538,173.267894236524
"1318x2259",1317.96567290044,2259.14068158143
"1342x1797",1342.46483207315,1797.13712560811
"1330x3737",1329.53089077622,3736.85147145961
"1423x1461",1423.21171651517,1460.97012474822
"1408x3009",1408.44235479804,3009.14253210483
"1455x455",1454.94127426312,455.481196081955
"1461x832",1461.31487805534,831.94468794536
"1474x4321",1474.37965883028,4320.94040280963
"1478x278",1478.42998047532,277.900929105231
"1491x1905",1491.3336686009,1904.89957446809
"1498x4095",1497.93272067166,4094.88180735194
"1548x2758",1548.08464000742,2758.11377342735
"1560x1209",1559.98380479765,1208.70139199914
"1580x2072",1579.62029998269,2072.17139619434
"1628x5252",1628.20298240382,5252.09027736356
"1681x4677",1680.57776805841,4677.41668068499
"1640x582",1640.01688860706,582.37391671951
"1668x1710",1668.08057699696,1709.93044252733
"1646x3610",1646.46564639445,3609.81856861051
"1709x1918",1709.21759653331,1918.01230364466
"1716x5810",1715.68499656501,5810.29349741629
"1702x374",1701.99700746166,373.986789518241
"1696x805",1695.85505283677,804.876043910947
"1701x1113",1700.57760919094,1112.7782975423
"1720x2478",1720.02626961189,2478.19891876548
"1796x5571",1795.66884601317,5571.05559619605
"1749x3980",1749.29880822066,3979.85229953285
"1852x4926",1852.26310861423,4925.87767027327
"1823x6241",1822.82794805195,6240.91799134199
"1829x1040",1828.63186250903,1040.17014808572
"1880x871",1879.62963175899,870.594848650358
"1823x1296",1822.93018943974,1296.0581821846
"1881x1670",1880.62657498652,1669.88082806295
"1862x4213",1861.68995154297,4212.85643968375
"1893x85",1892.51858280299,85.1015235418905
"1892x2110",1892.07242025444,2110.01905565478
"1877x3488",1876.77806896993,3488.13758828981
"1934x3072",1934.34931191907,3071.9183006536
"1966x4085",1965.74266733517,4085.15207445475
"2012x6546",2012.07053794086,6546.04845030281
"2074x3627",2073.54676939075,3626.94536087347
"2024x4665",2024.39874924974,4665.24110824992
"2014x5422",2014.41632712456,5421.78767300479
"2026x250",2026.38089584458,250.31568267674
"2048x1957",2048.13119856409,1956.535945466
"2102x3769",2102.40397665874,3768.7350551113
"2078x4462",2077.90391236307,4462.22480438185
"2048x6033",2048.0108,6032.63186666667
"2055x2430",2054.79840992071,2430.44511417893
"2110x4859",2109.50519833653,4858.52787108125
"2112x5112",2112.13785571023,5111.79468594237
"2200x3912",2199.8804315303,3911.99772266365
"2126x1539",2126.00635756684,1538.75773349656
"2168x4097",2167.75092478422,4097.47883968317
"2102x2610",2102.16407500379,2610.18862139259
"2201x6293",2200.73640634921,6292.55116190476
"2200x3089",2199.79259830378,3089.04854397723
"2262x1991",2262.26616602212,1990.65774799892
"2251x5609",2250.64641044559,5609.44653117804
"2244x63",2244.26863143631,62.5253688647998
"2290x1082",2290.01986123339,1081.53184085859
"2238x591",2237.64815147164,590.578427853554
"2293x3218",2293.42808306982,3217.7347448936
"2273x5812",2273.39833053392,5812.31187967629
"2302x5362",2302.34043353906,5361.50058708415
"2313x4873",2312.85385831808,4873.0504966152
"2338x216",2337.78748081187,216.40845983285
"2308x6005",2307.76024230436,6005.07669674867
"2287x3523",2286.71947363438,3523.03659945091
"2374x5157",2373.53130793613,5156.87617367382
"2303x4422",2303.36752458123,4422.32311857269
"2386x614",2385.99328456649,613.583723068314
"2423x1816",2422.50369061031,1816.14307913445
"2387x6145",2386.5444908575,6145.22694672131
"2412x395",2412.41573206668,394.883625808154
"2416x4152",2415.94800180661,4151.51785480135
"2414x6332",2414.16016873657,6332.05436776188
"2440x1302",2440.33539925848,1301.89200007378
"2401x4700",2401.47162169871,4700.10079288118
"2440x5876",2440.27818826967,5876.25568774786
"2474x5515",2474.12282859991,5514.83791121386
"2505x1637",2504.67712002332,1636.58561469138
"2515x4351",2514.68769168451,4351.45061049708
"2469x51",2468.89134004817,51.227939566455
"2493x2879",2492.57475897841,2878.67708744433
"2489x5722",2488.82999958758,5722.16876314596
"2479x2189",2478.98650676847,2188.72286417882
"2534x4947",2534.49448258045,4947.27083333333
"2520x171",2519.75366911274,171.236365910607
"2572x6217",2571.63093165299,6216.8076997485
"2608x2610",2607.7820381148,2610.27532808399
"2563x5249",2563.00883005784,5248.73472562013
"2581x5889",2580.80150776454,5888.69086312748
"2588x305",2588.36089410326,305.341849926325
"2568x1357",2568.2802225766,1356.80158110813
"2529x3823",2528.59345024558,3822.7029361499
"2602x3468",2602.21045609751,3467.80975962734
"2596x912",2596.27619885864,911.6635246018
"2602x6023",2602.0469620589,6023.14031131158
"2644x5583",2644.05971328592,5583.32245174399
"2655x96",2654.68594781515,95.9241328722624
"2653x4651",2653.11743688713,4650.80427185479
"2638x6405",2637.59598616735,6404.68761268584
"2646x516",2645.86850322967,516.092697950977
"2643x3611",2643.24929495687,3611.08265593895
"2664x2023",2663.8876827424,2023.29428667451
"2663x2832",2662.58892265393,2831.6569712756
"2632x3265",2631.57407480705,3264.50461112211
"2681x5790",2681.01241404943,5789.9891469987
"2668x1379",2668.18170934832,1379.03097022694
"2698x649",2698.37693041665,649.430858394883
"2707x2989",2707.11188304782,2989.24730136459
"2727x6053",2727.45340994254,6052.68964942959
"2738x872",2738.44715775102,871.545364279508
"2752x1540",2752.22042630799,1540.30710133364
"2783x3889",2783.04393538913,3888.71411160059
"2762x4456",2762.22613269636,4455.77518867685
"2777x3358",2776.72059196617,3357.50016913319
"2750x6307",2749.68313943271,6306.67129450634
"2766x345",2766.23711340206,344.542261735868
"2759x1323",2758.97144907285,1323.44544733562
"2736x4140",2736.21487699275,4139.82933262554
"2832x3222",2831.79242380884,3222.06063099156
"2862x2164",2861.71509719302,2164.05588137656
"2853x6116",2853.41853454939,6116.40620652342
"2853x1232",2853.19266464394,1231.78953239336
"2849x4752",2849.15395277379,4752.07553187936
"2869x672",2868.81149964047,671.643745505872
"2877x6303",2877.23344149647,6303.4515651842
"2885x955",2885.11705145938,955.165372202717
"2930x1382",2929.96076382634,1381.73208430913
"2917x1715",2917.44237738075,1715.25589920782
"2954x5417",2954.01767207812,5417.11459893368
"2925x2858",2924.86834100982,2857.73167057733
"2949x4135",2949.12375734901,4134.63591662213
"2959x5946",2959.25866780987,5945.9676598253
"3001x570",3001.412935619,569.970438812799
"2964x2382",2964.43737891133,2382.22017569468
"3029x6124",3029.06414055251,6123.56316781898
"3038x3690",3037.6232572099,3690.30626722327
"2981x4312",2980.72267308899,4312.25053125822
"3001x4589",3001.19117030411,4588.82536291208
"3047x2992",3046.58938368563,2991.97123123625
"3026x168",3025.77875822237,168.462671800631
"3035x2735",3034.71458859477,2734.61095002027
"3055x1255",3055.39938372532,1255.40969689347
