"","c"
"47x2553","Astro"
"69x6221","eL5-3"
"84x2248","VIP"
"117x54","Endo"
"157x3715","Astro"
"112x161","Endo"
"108x274","Endo"
"150x2720","Astro"
"184x507","L5-1"
"209x4104","Astro"
"225x3964","Astro"
"327x4330","Endo"
"278x3599","Astro"
"374x5376","Astro"
"411x5024","eL6-2"
"437x5249","Astro"
"431x4591","Astro"
"455x2706","Astro"
"561x138","eL2/3"
"538x5785","Astro"
"530x2833","Smc"
"539x2954","Endo"
"587x1839","Astro"
"606x6172","Astro"
"622x6005","Smc"
"621x686","eL2/3"
"608x6495","Astro"
"675x2050","Reln"
"718x5878","Astro"
"682x3065","Endo"
"683x6467","Astro"
"662x445","Astro"
"691x2692","Reln"
"683x340","eL2/3"
"678x3620","Astro"
"754x144","eL2/3"
"792x1030","eL2/3"
"806x1748","eL2/3"
"809x742","Astro"
"840x3681","Astro"
"878x4498","Astro"
"956x674","eL2/3"
"942x433","eL2/3"
"952x2048","Reln"
"977x1702","eL2/3"
"1061x2466","Reln"
"1002x133","eL2/3"
"1088x1005","eL2/3"
"1129x1221","eL2/3"
"1097x2692","Astro"
"1154x5139","Astro"
"1138x597","eL2/3"
"1157x336","NPY"
"1171x2099","Astro"
"1157x1675","Astro"
"1198x98","eL2/3"
"1267x1251","eL2/3"
"1286x1631","eL2/3"
"1299x545","eL2/3"
"1293x5715","Reln"
"1320x173","eL2/3"
"1318x2259","eL2/3"
"1342x1797","eL2/3"
"1330x3737","Astro"
"1423x1461","eL2/3"
"1408x3009","eL2/3"
"1455x455","eL2/3"
"1461x832","eL5-3"
"1474x4321","eL2/3"
"1478x278","eL2/3"
"1491x1905","eL2/3"
"1498x4095","Astro"
"1548x2758","eL2/3"
"1560x1209","eL2/3"
"1580x2072","eL2/3"
"1628x5252","Astro"
"1681x4677","Reln"
"1640x582","eL2/3"
"1668x1710","eL2/3"
"1646x3610","eL2/3"
"1709x1918","L5-1"
"1716x5810","Astro"
"1702x374","eL2/3"
"1696x805","L5-1"
"1701x1113","eL2/3"
"1720x2478","eL2/3"
"1796x5571","eL2/3"
"1749x3980","eL2/3"
"1852x4926","eL5-3"
"1823x6241","Oligo"
"1829x1040","eL2/3"
"1880x871","eL2/3"
"1823x1296","eL2/3"
"1881x1670","eL2/3"
"1862x4213","eL2/3"
"1893x85","eL2/3"
"1892x2110","eL2/3"
"1877x3488","VIP"
"1934x3072","eL2/3"
"1966x4085","VIP"
"2012x6546","Astro"
"2074x3627","eL2/3"
"2024x4665","eL2/3"
"2014x5422","eL5-2"
"2026x250","eL2/3"
"2048x1957","eL2/3"
"2102x3769","eL2/3"
"2078x4462","eL2/3"
"2048x6033","eL2/3"
"2055x2430","L5-1"
"2110x4859","eL2/3"
"2112x5112","eL5-2"
"2200x3912","eL2/3"
"2126x1539","eL2/3"
"2168x4097","eL2/3"
"2102x2610","eL2/3"
"2201x6293","eL2/3"
"2200x3089","eL2/3"
"2262x1991","Endo"
"2251x5609","eL2/3"
"2244x63","SST"
"2290x1082","eL2/3"
"2238x591","eL2/3"
"2293x3218","eL2/3"
"2273x5812","eL2/3"
"2302x5362","eL2/3"
"2313x4873","eL2/3"
"2338x216","Smc"
"2308x6005","eL2/3"
"2287x3523","eL2/3"
"2374x5157","SST"
"2303x4422","eL2/3"
"2386x614","eL6-1"
"2423x1816","Astro"
"2387x6145","eL2/3"
"2412x395","L5-1"
"2416x4152","eL2/3"
"2414x6332","eL2/3"
"2440x1302","Astro"
"2401x4700","eL2/3"
"2440x5876","eL2/3"
"2474x5515","eL2/3"
"2505x1637","Reln"
"2515x4351","eL2/3"
"2469x51","eL2/3"
"2493x2879","Endo"
"2489x5722","eL2/3"
"2479x2189","eL2/3"
"2534x4947","VIP"
"2520x171","L5-1"
"2572x6217","eL2/3"
"2608x2610","eL2/3"
"2563x5249","eL2/3"
"2581x5889","eL2/3"
"2588x305","eL5-3"
"2568x1357","Astro"
"2529x3823","eL2/3"
"2602x3468","eL2/3"
"2596x912","Oligo"
"2602x6023","eL2/3"
"2644x5583","eL2/3"
"2655x96","eL2/3"
"2653x4651","eL2/3"
"2638x6405","eL2/3"
"2646x516","Astro"
"2643x3611","eL5-2"
"2664x2023","eL5-2"
"2663x2832","eL2/3"
"2632x3265","SST"
"2681x5790","eL2/3"
"2668x1379","VIP"
"2698x649","eL5-3"
"2707x2989","Lhx6"
"2727x6053","eL2/3"
"2738x872","L5-1"
"2752x1540","L5-1"
"2783x3889","eL2/3"
"2762x4456","eL2/3"
"2777x3358","eL2/3"
"2750x6307","eL2/3"
"2766x345","L5-1"
"2759x1323","Lhx6"
"2736x4140","Endo"
"2832x3222","eL5-2"
"2862x2164","Smc"
"2853x6116","eL2/3"
"2853x1232","Lhx6"
"2849x4752","eL2/3"
"2869x672","eL5-3"
"2877x6303","eL2/3"
"2885x955","eL5-2"
"2930x1382","L5-1"
"2917x1715","SST"
"2954x5417","eL2/3"
"2925x2858","eL5-2"
"2949x4135","eL5-2"
"2959x5946","eL2/3"
"3001x570","eL5-2"
